Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Clustering Coefficient
@beerscouts,0.0028576871785101926,0.0,0.041313371081855337,1.0
@lindseygrahamsc,0.0028576871785101926,0.0,0.041313371081855337,1.0
@senatorcollins,0.004381787007048962,0.0009768806660349278,0.056910378588263984,0.5285714285714286
@jeffflake,0.0034292246142122312,0.00019063762872413649,0.04648877380981286,0.7058823529411765
@marcorubio,0.0028576871785101926,0.0,0.041313371081855337,1.0
@sensasse,0.0034292246142122312,4.3313953316845946e-05,0.04320036014096999,0.7058823529411765
@senatorisakson,0.0028576871785101926,0.0,0.041313371081855337,1.0
@sendavidperdue,0.0028576871785101926,0.0,0.041313371081855337,1.0
@senrobportman,0.0028576871785101926,0.0,0.041313371081855337,1.0
@senbobcorker,0.0028576871785101926,0.0,0.041313371081855337,1.0
@lisamurkowski,0.0034292246142122312,4.929800798293751e-06,0.0414254616235503,0.7189542483660131
@reperikpaulsen,0.0028576871785101926,0.0,0.041313371081855337,1.0
@senatorlankford,0.0028576871785101926,0.0,0.041313371081855337,1.0
@senatorburr,0.0028576871785101926,0.0,0.041313371081855337,1.0
@billcassidy,0.0028576871785101926,0.0,0.041313371081855337,1.0
@senpatroberts,0.0028576871785101926,0.0,0.041313371081855337,1.0
@tmz,0.00019051247856734617,0.0,0.05529109725233304,0.0
@nikefootball,0.0013335873499714232,9.362265286303082e-06,0.0588209636702035,0.5714285714285714
@owntv,0.0007620499142693847,0.0,0.055377041963087965,1.0
@theellenshow,0.0007620499142693847,0.0,0.055377041963087965,1.0
@betnews,0.0007620499142693847,0.0,0.055377041963087965,1.0
@wiedenkennedy,0.001143074871404077,0.00010154563343629015,0.05875628971344682,0.3333333333333333
@parkpictures,0.0005715374357020385,0.0,0.0586595449993193,1.0
@aseeger3,0.009335111449799963,0.0,0.009335111449799961,1.0
@teedisme,0.009335111449799963,0.0,0.009335111449799961,1.0
@jillosophy,0.009335111449799963,0.0,0.009335111449799961,1.0
@fredmer39027021,0.009335111449799963,0.0,0.009335111449799961,1.0
@jimbo_always,0.009335111449799963,0.0,0.009335111449799961,1.0
@libturdsmasher,0.009335111449799963,0.0,0.009335111449799961,1.0
@scbelle6,0.009335111449799963,0.0,0.009335111449799961,1.0
@geaninec,0.009335111449799963,0.0,0.009335111449799961,1.0
@david_magausa,0.009335111449799963,0.0,0.009335111449799961,1.0
@freed0mfirst,0.009335111449799963,0.0,0.009335111449799961,1.0
@nacebeth,0.009335111449799963,0.0,0.009335111449799961,1.0
@fightinirish109,0.009335111449799963,0.0,0.009335111449799961,1.0
@dybarb,0.009335111449799963,0.0,0.009335111449799961,1.0
@youlosenordys,0.009335111449799963,0.0,0.009335111449799961,1.0
@realbiddle,0.009335111449799963,0.0,0.009335111449799961,1.0
@willofthepeopl5,0.009335111449799963,0.0,0.009335111449799961,1.0
@americanlaoch,0.009335111449799963,0.0,0.009335111449799961,1.0
@dr_kaco,0.009335111449799963,0.0,0.009335111449799961,1.0
@kevinmarriagedr,0.009335111449799963,0.0,0.009335111449799961,1.0
@elderlansing,0.009335111449799963,0.0,0.009335111449799961,1.0
@byteflyer,0.009335111449799963,0.0,0.009335111449799961,1.0
@baby___del,0.009335111449799963,0.0,0.009335111449799961,1.0
@satchalistic1,0.009335111449799963,0.0,0.009335111449799961,1.0
@mongo444444,0.009335111449799963,0.0,0.009335111449799961,1.0
@the2nda,0.009335111449799963,0.0,0.009335111449799961,1.0
@j_maga,0.009335111449799963,0.0,0.009335111449799961,1.0
