Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Clustering Coefficient
#justvote,0.0004707148140676484,0.0,0.15575625877084054,1.0
#uniteblue,0.0004707148140676484,0.0,0.15575625877084054,1.0
#voteblue,0.0012776544953264743,4.219203780623652e-07,0.15595856152062407,0.40350877192982454
#gotv,0.0009414296281352968,1.89781263301364e-07,0.15587420487765533,0.4835164835164835
#turntexasblue,0.0008069396812588258,1.1359311969984056e-07,0.15584048776649856,0.5606060606060606
#fliptxblue,0.0004707148140676484,0.0,0.15575625877084054,1.0
#theresistance,0.0021518391500235357,1.4510815468995294e-06,0.15617831670160912,0.21975806451612903
#boycottnike,0.007195212157891198,1.661255476026609e-05,0.15745832694667747,0.12643272791394816
#handcrafted,0.0007396947078205904,0.0,0.15582363468033367,1.0
#custom,0.0020173492031470646,6.232191973752308e-07,0.1561444679116868,0.5793103448275863
#journal,0.0007396947078205904,0.0,0.15582363468033367,1.0
#etsyseller,0.0007396947078205904,0.0,0.15582363468033367,1.0
#writer,0.0014793894156411808,4.5628902622178603e-07,0.15600921934701661,0.5281385281385281
#giftidea,0.0007396947078205904,0.0,0.15582363468033367,1.0
#birthday,0.0007396947078205904,0.0,0.15582363468033367,1.0
#backtoschool,0.0011431645484500034,1.477894939336504e-07,0.1559248079092139,0.6176470588235294
#support,0.0029587788312823615,2.0254954827493136e-06,0.1563817180257267,0.3171247357293869
#focus,0.002286329096900007,1.00764767547463e-06,0.1562121801701047,0.43137254901960786
#love,0.016475018492367696,0.00010244844859619806,0.15986920557961232,0.07604550016728003
#mexicanproblems,0.0004707148140676484,0.0,0.15575625877084054,1.0
#latino,0.0004707148140676484,0.0,0.15575625877084054,1.0
#immigration,0.0005379597875058839,2.7133143283753392e-08,0.15577309728530223,0.7857142857142857
#borderpatrol,0.0011431645484500034,1.701205015409935e-07,0.1559248079092139,0.6029411764705882
#allthepresidentsmen,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#adoptdontshop,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#nba,0.0009414296281352968,1.8993200298627375e-07,0.15587420487765533,0.5384615384615384
#99jamz,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#dream,0.004505413220361778,4.323205970480776e-06,0.15677305515058704,0.3147896879240163
#crazy,0.0028242888844058904,9.695478971397117e-07,0.15634778102094682,0.5284552845528455
#brandnew,0.0012104095218882388,0.0,0.15594168288842486,1.0
#campaign,0.005648577768811781,8.921238834448432e-06,0.15706356549913295,0.19477911646586346
#video,0.0012776544953264743,7.687723930396794e-08,0.15595856152062407,0.9005847953216374
#message,0.003026023804720597,2.0896654250152025e-06,0.15639869205351628,0.3434343434343434
#sports,0.006388272476632372,1.0043351671313632e-05,0.15725211719841165,0.19059350503919373
#brand,0.002891533857844126,1.4465415115443827e-06,0.1563647476819366,0.36212624584717606
#tv,0.0012104095218882388,0.0,0.15594168288842486,1.0
#advert,0.0012104095218882388,0.0,0.15594168288842486,1.0
#digital,0.0012104095218882388,0.0,0.15594168288842486,1.0
#sport,0.0039002084594176585,2.9375243646171034e-06,0.15661969020533104,0.30490018148820325
#inspire,0.0036312285656647167,3.4842092017441183e-06,0.1565516242817303,0.2634521313766597
#youcandoit,0.007060722211014727,1.5258144621788016e-05,0.15742392110663672,0.18205128205128204
#dreambig,0.006590007396947078,1.3934001233818781e-05,0.15730361898352027,0.15169366715758467
#neededajob,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#onejob,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#savage,0.0012104095218882388,1.1456216053140315e-07,0.15594168288842486,0.803921568627451
#sacrafice,0.00013448994687647098,0.0,0.15567212077452955,1.0
#istandwithice,0.0007396947078205904,0.0,0.15582363468033367,1.0
#bringiton,0.0010759195750117679,2.463086451425169e-07,0.1559079365818054,0.5333333333333333
#americafirst,0.0010086746015735323,1.380129486552186e-07,0.15589106890501414,0.638095238095238
#illegalaliens,0.0007396947078205904,0.0,0.15582363468033367,1.0
#buildthatwallnow,0.0007396947078205904,0.0,0.15582363468033367,1.0
#buildthewall,0.0010086746015735323,9.315027347036045e-08,0.15589106890501414,0.6666666666666666
#secureourborders,0.0007396947078205904,0.0,0.15582363468033367,1.0
#waityourturn,0.0007396947078205904,0.0,0.15582363468033367,1.0
#kag,0.0019501042297088292,6.076890945130366e-07,0.15612754901820844,0.4482758620689655
#picasso,0.0006052047609441194,0.0,0.15578993944091746,1.0
#homage,0.0007396947078205904,4.2207111774727496e-08,0.15582363468033367,0.7454545454545455
#branding,0.0019501042297088292,1.10922873852868e-06,0.15612754901820844,0.27586206896551724
#artistquotes,0.0006052047609441194,0.0,0.15578993944091746,1.0
#artiseverywhere,0.0006052047609441194,0.0,0.15578993944091746,1.0
#relaxitsjustart,0.0006052047609441194,0.0,0.15578993944091746,1.0
#jointheculture,0.0006052047609441194,0.0,0.15578993944091746,1.0
#reddotculture,0.0006052047609441194,0.0,0.15578993944091746,1.0
#dreamer,0.00020173492031470646,0.0,0.15568894110092335,1.0
#nrc,0.0016138793625176517,6.473731110855842e-07,0.156043009517982,0.358695652173913
#eandcpodcastofawesomeness,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#dallas,0.0004707148140676484,1.2059174792779284e-08,0.15575625877084054,0.8095238095238095
#fortheidoits,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#isupportkap,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#reasonoverideology,0.00013448994687647098,0.0,0.15567212077452955,1.0
#believeinsomethingevenifitmeanssacrificingeverything,0.0014793894156411808,5.175651975521574e-07,0.15600921934701661,0.31601731601731603
#signofrespect,0.0004707148140676484,0.0,0.15575625877084054,1.0
#blacklivesmatter,0.007464192051644139,1.5100845928545746e-05,0.15752718376397132,0.13267813267813267
#yourprivilegeisshowing,0.0004707148140676484,0.0,0.15575625877084054,1.0
#checkyourprivilege,0.0004707148140676484,0.0,0.15575625877084054,1.0
#hike,0.0016138793625176517,5.63834939601027e-07,0.156043009517982,0.5253623188405797
#sbliii,0.00020173492031470646,0.0,0.15568894110092335,1.0
#podernfamily,0.0006724497343823549,2.1103555887363748e-08,0.15580678523886737,0.8444444444444444
#effort,0.0009414296281352968,2.4875963326598433e-08,0.15587420487765533,0.8791208791208791
#work,0.0027570439109676553,1.382918371068158e-06,0.1563308180415586,0.3378048780487805
#yoaquipendandoenvozalta,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#nevermind,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#tiggz,0.0004707148140676484,0.0,0.15572259266065555,1.0
#tiggzthealbum,0.00033622486719117747,0.0,0.15572259266065555,1.0
#everywhere,0.00033622486719117747,0.0,0.15572259266065555,1.0
#breaking,0.0006724497343823549,6.942639202128645e-08,0.15580678523886737,0.5111111111111111
#makingwomenlooklikestormy,0.0004034698406294129,0.0,0.15573942389635168,1.0
#medicareforall,0.0004034698406294129,0.0,0.15573942389635168,1.0
#trump,0.007464192051644139,1.7451240805938018e-05,0.15752718376397132,0.12186732186732187
#veterans,0.0024208190437764775,1.5519865313497406e-06,0.15624605832672364,0.3412698412698413
#wearingmynikes,0.00013448994687647098,0.0,0.15567212077452955,1.0
#shootemup,0.00013448994687647098,0.0,0.15567212077452955,1.0
#fitbit,0.00020173492031470646,0.0,0.15568894110092335,1.0
#beats,0.00020173492031470646,0.0,0.15568894110092335,1.0
#running,0.0025553089906529486,2.092579073037376e-06,0.15627995118102447,0.2901849217638691
#collusion,0.00020173492031470646,0.0,0.15568894110092335,1.0
#solutions,0.00020173492031470646,0.0,0.15568894110092335,1.0
#peace,0.0024208190437764775,1.534952829389769e-06,0.15624605832672364,0.29365079365079366
#sweetmen,0.0008069396812588258,0.0,0.15584048776649856,1.0
#songwriter,0.0013448994687647099,3.886930446601181e-07,0.1559754438069978,0.5368421052631579
#musicianlife,0.0008069396812588258,0.0,0.15584048776649856,1.0
#recordlabel,0.0008069396812588258,0.0,0.15584048776649856,1.0
#recordingartist,0.0008069396812588258,0.0,0.15584048776649856,1.0
#afrobeats,0.0008069396812588258,0.0,0.15584048776649856,1.0
#alaafrica,0.0008069396812588258,0.0,0.15584048776649856,1.0
#alaafricamusic,0.0008069396812588258,0.0,0.15584048776649856,1.0
#liveforever,0.0008069396812588258,0.0,0.15584048776649856,1.0
#album,0.0011431645484500034,2.2038141933804143e-07,0.1559248079092139,0.6029411764705882
#nobadsongsever,0.0008069396812588258,0.0,0.15584048776649856,1.0
#american,0.00020173492031470646,0.0,0.15568894110092335,1.0
#military,0.0007396947078205904,7.1601350332127e-08,0.15582363468033367,0.6181818181818182
#teamabrams,0.00013448994687647098,0.0,0.15567212077452955,1.0
#allthedamndoors,0.00013448994687647098,0.0,0.15567212077452955,1.0
#justdance,0.0014121444422029452,0.0,0.15599232974873287,1.0
#dancelife,0.0014121444422029452,0.0,0.15599232974873287,1.0
#dancepiration,0.0014121444422029452,0.0,0.15599232974873287,1.0
#inspiration,0.006590007396947078,1.4408488143572042e-05,0.15730361898352027,0.18114874815905743
#danceanyway,0.0014121444422029452,0.0,0.15599232974873287,1.0
#dance,0.0021518391500235357,8.662363664541777e-07,0.15617831670160912,0.5625
#balletlife,0.0014121444422029452,0.0,0.15599232974873287,1.0
#ballet,0.0014121444422029452,0.0,0.15599232974873287,1.0
#bunhead,0.0014121444422029452,0.0,0.15599232974873287,1.0
#jazzdance,0.0014121444422029452,0.0,0.15599232974873287,1.0
#tapdance,0.0014121444422029452,0.0,0.15599232974873287,1.0
#hiphopdance,0.0014121444422029452,0.0,0.15599232974873287,1.0
#danceimprov,0.0014121444422029452,0.0,0.15599232974873287,1.0
#dancemood,0.0014121444422029452,0.0,0.15599232974873287,1.0
#choreo,0.0014121444422029452,0.0,0.15599232974873287,1.0
#choreography,0.0014121444422029452,0.0,0.15599232974873287,1.0
#nolimits,0.0016138793625176517,2.2565730830988237e-07,0.156043009517982,0.7862318840579711
#nofear,0.0014121444422029452,0.0,0.15599232974873287,1.0
#fearless,0.0018828592562705937,4.915621124906655e-07,0.15611063379079584,0.6402116402116402
#dancemore,0.0014121444422029452,0.0,0.15599232974873287,1.0
#dancenow,0.0014121444422029452,0.0,0.15599232974873287,1.0
#newmusic,0.0015466343890794163,2.9407961357846466e-07,0.1560261126030369,0.5770750988142292
#westcoast,0.0004034698406294129,0.0,0.15573942389635168,1.0
#nyc,0.005648577768811781,1.1267210775449687e-05,0.15702933194082888,0.1665161096055405
#vancouver,0.0004034698406294129,0.0,0.15573942389635168,1.0
#bigfacts,0.0008069396812588258,0.0,0.15584048776649856,1.0
#uapb21,0.0009414296281352968,0.0,0.15584048776649856,1.0
#retweeet,0.0018828592562705937,6.106961579709797e-07,0.15611063379079584,0.544973544973545
#share,0.0019501042297088292,9.896377806334841e-07,0.15612754901820844,0.3768472906403941
#listenbetter,0.0012776544953264743,2.583139843335427e-07,0.15595856152062407,0.5672514619883041
#puregoals,0.0008069396812588258,0.0,0.15584048776649856,1.0
#teamfollowback,0.0008069396812588258,0.0,0.15584048776649856,1.0
#waitonit,0.0008069396812588258,0.0,0.15584048776649856,1.0
#naturalwoman,0.0008069396812588258,0.0,0.15584048776649856,1.0
#afro,0.0018156142828323583,6.735895890800344e-07,0.15609372222825757,0.4045584045584046
#brandjobba,0.00020173492031470646,0.0,0.15568894110092335,1.0
#basketballneverdies,0.00020173492031470646,0.0,0.15568894110092335,1.0
#itsjustdifferent,0.00020173492031470646,0.0,0.15568894110092335,1.0
#shouldbeinjail,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#medialee,0.0004034698406294129,0.0,0.15573942389635168,1.0
#wdbr,0.0004034698406294129,0.0,0.15573942389635168,1.0
#crg,0.0004034698406294129,0.0,0.15573942389635168,1.0
#shstrack,0.0004034698406294129,0.0,0.15573942389635168,1.0
#nikeheadtotoe,0.0004034698406294129,0.0,0.15573942389635168,1.0
#doitforkaep,0.0004034698406294129,0.0,0.15573942389635168,1.0
#amen,0.00013448994687647098,0.0,0.15567212077452955,1.0
#impeachtrump,0.0016811243359558872,7.458214603212356e-07,0.1560599100930408,0.30666666666666664
#jokes,0.0021518391500235357,6.148025720247297e-07,0.15617831670160912,0.49193548387096775
#sketchers,0.0005379597875058839,2.4118349585558568e-08,0.15577309728530223,0.7142857142857143
#lol,0.0027570439109676553,1.8803994548464762e-06,0.15629690312279484,0.252361673414305
#lmfao,0.0007396947078205904,3.278588146786868e-08,0.15582363468033367,0.7272727272727273
#rkelly,0.0004034698406294129,0.0,0.15573942389635168,1.0
#justice,0.00342949364535001,2.5586585111016314e-06,0.15646662502867256,0.30612244897959184
#fakepatriotism,0.0005379597875058839,0.0,0.15577309728530223,1.0
#burnnike,0.0006724497343823549,3.617752437833785e-08,0.15580678523886737,0.7333333333333333
#sacrifice,0.003967453432855894,4.070394454078285e-06,0.15663671593532402,0.20631209818819404
#resigntrump,6.724497343823549e-05,0.0,0.15565530408221298,0.0
#wrko,0.00026897989375294196,0.0,0.15570576506257247,1.0
