#quote,#motivation,{'weight': 1}
#quote,#justdoit,{'weight': 5}
#quote,#fridayfeeling,{'weight': 1}
#quote,#bigfacts,{'weight': 1}
#quote,#uapb21,{'weight': 2}
#quote,#retweeet,{'weight': 1}
#quote,#share,{'weight': 1}
#quote,#listenbetter,{'weight': 1}
#quote,#puregoals,{'weight': 1}
#quote,#teamfollowback,{'weight': 1}
#quote,#waitonit,{'weight': 1}
#quote,#naturalwoman,{'weight': 1}
#quote,#afro,{'weight': 1}
#quote,#aibek,{'weight': 1}
#quote,#funny,{'weight': 2}
#quote,#club,{'weight': 1}
#quote,#cool,{'weight': 1}
#quote,#sayings,{'weight': 1}
#quote,#inspirational,{'weight': 1}
#quote,#motivational,{'weight': 1}
#quote,#shia,{'weight': 1}
#quote,#labeouf,{'weight': 1}
#quote,#true,{'weight': 1}
#quote,#byshialabeouf,{'weight': 1}
#quote,#customon,{'weight': 1}
#quote,#dreams,{'weight': 1}
#quote,#nike,{'weight': 1}
#quote,#speech,{'weight': 1}
#quote,#womenstshirt,{'weight': 1}
#quote,#custom,{'weight': 1}
#quote,#tee,{'weight': 1}
#quote,#unique,{'weight': 1}
#quote,#lady,{'weight': 1}
#quote,#strong,{'weight': 1}
#quote,#able,{'weight': 1}
#quote,#herstrength,{'weight': 1}
#quote,#morningrush,{'weight': 1}
#quote,#leadership,{'weight': 1}
#quote,#strategy,{'weight': 1}
#quote,#vision,{'weight': 1}
#motivation,#justdoit,{'weight': 27}
#motivation,#fridaymotivation,{'weight': 2}
#motivation,#fridayfeeling,{'weight': 1}
#motivation,#blessednotstressed,{'weight': 1}
#motivation,#business,{'weight': 6}
#motivation,#keytosuccess,{'weight': 1}
#motivation,#success,{'weight': 6}
#motivation,#action,{'weight': 1}
#motivation,#goals,{'weight': 5}
#motivation,#workhard,{'weight': 3}
#motivation,#achieve,{'weight': 1}
#motivation,#accomplish,{'weight': 1}
#motivation,#effort,{'weight': 1}
#motivation,#startup,{'weight': 1}
