Source,Target,Weight
@nike,@timkennedymma,1
@nike,@bjorkian15,1
@nike,@alliedcontigo,1
@nike,@sarahpalinusa,1
@nike,@nikechicago,1
@nike,@captainslog2o18,9
@nike,@smilon713,1
@nike,@underarmour,1
@nike,@puma,1
@nike,@newbalance,1
@nike,@meekmill,1
@nike,@devanf91,1
@nike,@jeejuh,1
@nike,@shaunking,2
@nike,@amazon,1
@nike,@realbobwoodward,1
@nike,@ckgthedon,1
@nike,@spotify,1
@nike,@itunes,1
@nike,@theview,1
@nike,@rjclifestyle,1
@nike,@officialjoelf,1
@nike,@quiteperry,1
@nike,@caesarsent,1
@nike,@savagepoker,1
@nike,@benerwinpoker,1
@nike,@tvpokerroom,1
@nike,@donlemon_cnn,2
@nike,@11thhour,2
@nike,@torontostar,2
@nike,@foxfriendsfirst,2
@nike,@lauraingle,2
@nike,@washingtonpost,2
@nike,@kanyewest,1
@nike,@kimkardashian,1
@nike,@alicemariefree,1
@nike,@trisresists,7
@nike,@theswprincess,15
@nike,@1jedi_rey,15
@nike,@natcookresists,12
@nike,@listentoezra,14
@nike,@gbmnyc,16
@nike,@nflpa,18
@nike,@havok_2o18,15
@nike,@malcolmjenkins,16
@nike,@kstills,16
@nike,@mosesbread72,16
@nike,@matthewwolfff,13
@nike,@jynerso_2017,13
@nike,@deadpoolresists,12
@nike,@debbiesideris,13
@nike,@trinityresists,12
@nike,@sabineresists,12
@nike,@minervasbard,12
@nike,@rebelscumpixie,12
@nike,@jedimasterdre,12
@nike,@b52malmet,10
@nike,@lady_star_gem,12
@nike,@jeffbfish,12
@nike,@jainaresists,12
@nike,@knot4sharing,12
@nike,@dangerusswilson,11
@nike,@earl_thomas,11
@nike,@tdlockett12,11
@nike,@topropetravis,8
@nike,@brandontxneely,8
@nike,@realtomsongs,8
@nike,@batmanresist,8
@nike,@nateboyer37,8
@nike,@slythseeker,1
@nike,@naretevduorp,1
@nike,@augustus709,1
@nike,@meg_y12,1
@nike,@kidcasteel,1
@nike,@ybbkaren,1
@nike,@ladyhawkerfinds,1
@nike,@pollackhunter,1
@nike,@njdot_info,1
@nike,@shondarhimes,2
@nike,@deray,2
@nike,@djsupreme610,2
@nike,@fbi,1
@nike,@katiekent419,1
@nike,@paylessinsider,5
@nike,@alt_uscis,1
@nike,@cnnmoney,2
@nike,@gunjin_,1
@nike,@kicks_usa,1
@nike,@xrsize58,1
@nike,@chicagobears,4
@nike,@maninthehoody,4
@nike,@allensoped,2
@nike,@cyrustoulabi,2
@nike,@alyssa_milano,2
@nike,@southeugenehigh,1
@nike,@eliudkipchoge,1
@nike,@essence,1
@nike,@senkamalaharris,2
@nike,@karencivil,1
@nike,@nickiminaj,2
@nike,@adidasfballus,1
@nike,@lauraloomer,1
@nike,@chizmaga,1
@nike,@ford,1
@nike,@wtmj,1
@nike,@ace_metrix,3
@nike,@thesharkdaymond,1
@nike,@theshaderoom,1
@nike,@worldstar,1
@nike,@nbcsphilly,1
@nike,@nratv,1
@nike,@dloesch,1
@nike,@spjhpythons,1
@nike,@spjh_pe,1
@nike,@fosterthepeople,1
@nike,@d_dashawn,1
@nike,@hurley,1
@nike,@converse,1
@nike,@nikesb,1
@nike,@tish_ja,1
@nike,@blackenterprise,1
@nike,@acts17,1
@nike,@inspiringphilos,1
@nike,@armorogod,1
@nike,@bensimmons25,1
@nike,@katieutehs,1
@nike,@nbc,1
@nike,@markos,1
@nike,@logjamminpete,1
@nike,@tyrabeauty,1
@nike,@real_farmacist,1
@nike,@collinkaepernic,1
@nike,@tictoc,1
@nike,@cincypd,1
@nike,@karla_welch,1
@nike,@jv,1
@nike,@wild949,1
@nikestore,@kaepernick7,6
@nikestore,@realdonaldtrump,1
@nikestore,@nikestoreeurope,1
@nikestore,@wep_uk,1
@nikestore,@mlombardinfl,1
@nikestore,@nfl,1
@nikestore,@foxnews,1
@nikestore,@usnikefootball,1
@nikestore,@thecampaignbook,1
@nikestore,@nikesportswear,1
@nikestore,@adidas,1
@nikestore,@asicsamerica,1
@nikestore,@mizunorunningna,1
@nikestore,@underarmour,1
@nikestore,@diamondandsilk,1
@nikestore,@nikenyc,1
@nikestore,@andrewzimmern,1
@nikestore,@kingjames,1
@nikestore,@bensimmons25,1
@nikestore,@shaunking,1
@nikestore,@katieutehs,1
@kaepernick7,@nikesportswear,1
@kaepernick7,@nikewomen,1
@kaepernick7,@kaepernick7,9
@kaepernick7,@jwkeady,1
@kaepernick7,@killermike,1
@kaepernick7,@tmorello,1
@kaepernick7,@madriannorman,1
@kaepernick7,@wiedenkennedy,2
@kaepernick7,@parkpictures,1
@kaepernick7,@52mack_,1
@kaepernick7,@leveonbell,1
@kaepernick7,@podcast_genie,1
@kaepernick7,@podcasthq,1
@kaepernick7,@uoftkpe,1
@kaepernick7,@serenawilliams,9
@kaepernick7,@kobebryant,3
@kaepernick7,@victorpopejr,1
@kaepernick7,@nikestoreeurope,1
@kaepernick7,@wep_uk,1
@kaepernick7,@mlombardinfl,1
@kaepernick7,@teamndl,1
@kaepernick7,@nfl,37
@kaepernick7,@nflcommish,19
@kaepernick7,@foxnews,3
@kaepernick7,@cashflowharlem,1
@kaepernick7,@realdonaldtrump,45
@kaepernick7,@nikebasketball,1
@kaepernick7,@seanhannity,1
@kaepernick7,@wauwatosapd,1
@kaepernick7,@worldplayersutd,1
@kaepernick7,@brendanschwab,1
@kaepernick7,@shannonsharpe,2
@kaepernick7,@yourrightscamp,2
@kaepernick7,@richarddeitsch,1
@kaepernick7,@scotthanson,1
@kaepernick7,@liam_mchugh,1
@kaepernick7,@fairtrade,1
@kaepernick7,@abreg_1,1
@kaepernick7,@houstontx,1
@kaepernick7,@syracuseu,1
@kaepernick7,@ft,1
@kaepernick7,@robbin_young,1
@kaepernick7,@e_reid35,4
@kaepernick7,@attorneygriggs,1
@kaepernick7,@abukar_arman,1
@kaepernick7,@americanracetnt,1
@kaepernick7,@lewishamilton,1
@kaepernick7,@markrhinosmith,1
@kaepernick7,@sfgate,2
@kaepernick7,@tesla,3
@kaepernick7,@plugshare,3
@kaepernick7,@pluginamerica,3
@kaepernick7,@mikel_jollett,1
@kaepernick7,@corybooker,8
@kaepernick7,@adidas,2
@kaepernick7,@geraldwebb,1
@kaepernick7,@businessinsider,1
@kaepernick7,@chrismoorman,1
@kaepernick7,@ebay_uk,1
@kaepernick7,@kurtiso96,1
@kaepernick7,@royaltee_tweet,1
@kaepernick7,@alexandsrrobert,1
@kaepernick7,@sgtfury1984,2
@kaepernick7,@mwinfert,2
@kaepernick7,@lblee58,2
@kaepernick7,@kimmiejs,2
@kaepernick7,@18rowdynation,2
@kaepernick7,@krisparonto,1
@kaepernick7,@kyleecoyote8,1
@kaepernick7,@youtube,6
@kaepernick7,@nflpa,19
@kaepernick7,@markgeragos,1
@kaepernick7,@vivabunny,1
@kaepernick7,@thehill,1
@kaepernick7,@rolandjkay,1
@kaepernick7,@jeetendrsehdev,1
@kaepernick7,@timtebow,2
@kaepernick7,@nikenyc,1
@kaepernick7,@podsaveamerica,1
@kaepernick7,@mccormickspices,1
@kaepernick7,@browns,1
@kaepernick7,@get_repost,1
@kaepernick7,@potus,2
@kaepernick7,@darrenrovell,1
@kaepernick7,@foxandfriends,1
@kaepernick7,@abc,1
@kaepernick7,@nicolenavega,2
@kaepernick7,@dianaross,2
@kaepernick7,@kaepernick,1
@kaepernick7,@yahooent,1
@kaepernick7,@kingjames,19
@kaepernick7,@zambreroireland,1
@kaepernick7,@colehaan,1
@kaepernick7,@kapsi1911,1
@kaepernick7,@the_culthouse,1
@kaepernick7,@itsmichaelj,1
@kaepernick7,@jumpman23,1
@kaepernick7,@senjohnmccain,1
@kaepernick7,@kingzthoughtz,1
@kaepernick7,@mafiamodelz,1
@kaepernick7,@49ers,1
@kaepernick7,@gin_and_tacos,1
@kaepernick7,@katiegoliday,1
@kaepernick7,@cnn,1
@kaepernick7,@stephenathome,2
@kaepernick7,@barackobama,2
@kaepernick7,@acosta,1
@kaepernick7,@triallawyerrich,1
@kaepernick7,@militantmind2,2
@kaepernick7,@power106la,2
@kaepernick7,@joey7barton,1
@kaepernick7,@nessnitty,3
@kaepernick7,@saenzdav003,1
@kaepernick7,@realatomicelbow,2
@kaepernick7,@adamrowecomedy,1
@kaepernick7,@avecope,1
