Source,Target,Weight
#justdoit,#flexfriday,2
#justdoit,#berkhansays,1
#justdoit,#photooftheday,5
#justdoit,#internewins,1
#justdoit,#mike_tyson,1
#justdoit,#tyson,3
#justdoit,#missamerica,1
#justdoit,#flashbackfriday,3
#justdoit,#jobsreport,3
#justdoit,#got7,3
#justdoit,#campaigns,1
#justdoit,#tv3gh,1
#justdoit,#kaepernicknikead,8
#justdoit,#slaveryremembranceday,2
#justdoit,#mudasuksesmenang,1
#justdoit,#nationalbeerloversday,3
#justdoit,#eminemvsmgk,1
#justdoit,#nas,1
#justdoit,#kelis,2
#justdoit,#indraketujuheps38,1
#justdoit,#donaldlovesdictators,1
#justdoit,#colinkaepernick,210
#justdoit,#fightfascism,1
#justdoit,#meme,13
#justdoit,#justtryit,1
#justdoit,#cafecitoenergy,1
#justdoit,#energy,2
#justdoit,#greatlakescrossing,1
#justdoit,#fortheculture,1
#justdoit,#bringit,17
#justdoit,#boom,1
#justdoit,#manncup2018,1
#justdoit,#westcoastbestcoast,1
#justdoit,#flyyyy,1
#justdoit,#lebron16,1
#justdoit,#lebron,2
#justdoit,#goals,16
#justdoit,#iq45,1
#justdoit,#mitchmcconnell,1
#justdoit,#gop,1
#justdoit,#presobama,1
#justdoit,#kaepernick,142
#justdoit,#lebronjames,8
#justdoit,#kyrie,1
#justdoit,#kapernick,38
#justdoit,#sneaker,3
#justdoit,#justdoit,184
#justdoit,#standforsomething,17
#justdoit,#taketheknee,12
#justdoit,#istandforamerica,1
#justdoit,#esg,1
#justdoit,#investment,3
#justdoit,#strategy,2
#justdoit,#sustainability,1
#justdoit,#impinv,1
#justdoit,#susty,1
#justdoit,#sdgs,1
#justdoit,#theranos,1
#justdoit,#thelongswim,1
#justdoit,#fridayreads,2
#justdoit,#mojo50,1
#justdoit,#loveislove,3
#justdoit,#showerthoughts,1
#justdoit,#firstamendment,4
#justdoit,#trumptrash,1
#justdoit,#nikekap,1
#justdoit,#believeinsomething,44
#justdoit,#friyay,6
#justdoit,#kap,16
#justdoit,#bluewave2018,6
#justdoit,#love_yourself,1
#justdoit,#believeinyourself,8
#justdoit,#equalityforall,2
#justdoit,#compassionforall,1
#justdoit,#justdontdoit,5
#justdoit,#trump2020,2
#justdoit,#redwave,2
#justdoit,#jesus,5
#justdoit,#viral,3
#justdoit,#marketing,14
#justdoit,#nbc,3
#justdoit,#cnn,3
#justdoit,#nikejustdoit,6
#justdoit,#football,36
#justdoit,#believe,26
#justdoit,#listen,5
#justdoit,#nikeshoes,12
#justdoit,#injustice,4
#justdoit,#justthrillbill,1
#justdoit,#djthrillbill,1
#justdoit,#704,1
#justdoit,#charlit,1
#justdoit,#thecoolestdjintheworld,1
#justdoit,#thrillbillionaires,1
#justdoit,#qcdjs,1
#justdoit,#hehe,1
#justdoit,#michaeljackson,1
#justdoit,#heheintothewind,1
#justdoit,#thoughtwear,1
#justdoit,#diplomacy,1
#justdoit,#ad,13
#justdoit,#crazyenough,3
#justdoit,#qanon,7
#justdoit,#justblewit,10
#justdoit,#therainmakers,1
#justdoit,#fridayfeeiing,5
#justdoit,#splendidloves,1
#justdoit,#america,15
#justdoit,#steviewonder,4
#justdoit,#advertising,8
#justdoit,#collinkaepernick,13
#justdoit,#blackpower,3
#justdoit,#thugpun,1
#justdoit,#eminem,6
#justdoit,#revival,1
#justdoit,#istandwithkaep,1
#justdoit,#history,2
#justdoit,#beyou,6
#justdoit,#livelaughlove,2
#justdoit,#smile,4
#justdoit,#moremoney,1
#justdoit,#lessproblems,1
#justdoit,#ai,1
#justdoit,#watson,1
#justdoit,#iaminlove,1
#justdoit,#nikead,70
#justdoit,#thinblueline,1
#justdoit,#blessednotstressed,1
#justdoit,#gains,4
#justdoit,#fitness,20
#justdoit,#bodybuilding,4
#justdoit,#friday,12
#justdoit,#health,2
#justdoit,#dreamcrazy,26
#justdoit,#bikes,1
#justdoit,#burnyournike,1
#justdoit,#justvote,1
#justdoit,#uniteblue,1
#justdoit,#voteblue,3
#justdoit,#gotv,3
#justdoit,#turntexasblue,2
#justdoit,#fliptxblue,1
#justdoit,#theresistance,10
#justdoit,#boycottnike,48
#justdoit,#handcrafted,1
#justdoit,#custom,2
#justdoit,#journal,1
#justdoit,#etsyseller,1
#justdoit,#writer,2
#justdoit,#giftidea,1
#justdoit,#birthday,1
#justdoit,#backtoschool,2
#justdoit,#support,7
#justdoit,#focus,4
#justdoit,#love,30
#justdoit,#mexicanproblems,1
#justdoit,#latino,1
#justdoit,#immigration,2
#justdoit,#borderpatrol,2
#justdoit,#allthepresidentsmen,1
#justdoit,#adoptdontshop,1
#justdoit,#nba,3
#justdoit,#99jamz,1
#justdoit,#dream,7
#justdoit,#crazy,5
#justdoit,#brandnew,2
#justdoit,#campaign,11
#justdoit,#video,3
#justdoit,#message,7
#justdoit,#sports,15
#justdoit,#brand,5
#justdoit,#tv,2
#justdoit,#advert,2
#justdoit,#digital,2
#justdoit,#sport,7
#justdoit,#inspire,9
#justdoit,#youcandoit,9
#justdoit,#dreambig,24
#justdoit,#neededajob,1
#justdoit,#onejob,1
#justdoit,#savage,3
#justdoit,#sacrafice,1
#justdoit,#istandwithice,1
#justdoit,#bringiton,3
#justdoit,#americafirst,2
#justdoit,#illegalaliens,1
#justdoit,#buildthatwallnow,1
#justdoit,#buildthewall,8
#justdoit,#secureourborders,1
#justdoit,#waityourturn,1
#justdoit,#kag,4
#justdoit,#picasso,1
#justdoit,#homage,2
#justdoit,#branding,6
#justdoit,#artistquotes,1
#justdoit,#artiseverywhere,1
#justdoit,#relaxitsjustart,1
#justdoit,#jointheculture,1
#justdoit,#reddotculture,1
#justdoit,#dreamer,1
#justdoit,#nrc,6
#justdoit,#eandcpodcastofawesomeness,1
#justdoit,#dallas,2
#justdoit,#fortheidoits,1
#justdoit,#isupportkap,1
#justdoit,#reasonoverideology,1
#justdoit,#believeinsomethingevenifitmeanssacrificingeverything,7
#justdoit,#signofrespect,1
#justdoit,#blacklivesmatter,37
#justdoit,#yourprivilegeisshowing,1
#justdoit,#checkyourprivilege,1
#justdoit,#hike,3
#justdoit,#sbliii,1
#justdoit,#podernfamily,2
#justdoit,#effort,2
#justdoit,#work,5
#justdoit,#yoaquipendandoenvozalta,1
#justdoit,#nevermind,1
#justdoit,#tiggz,2
#justdoit,#tiggzthealbum,1
#justdoit,#everywhere,1
#justdoit,#breaking,3
#justdoit,#makingwomenlooklikestormy,1
#justdoit,#medicareforall,1
#justdoit,#trump,25
#justdoit,#veterans,6
#justdoit,#wearingmynikes,1
#justdoit,#shootemup,1
#justdoit,#fitbit,1
#justdoit,#beats,1
#justdoit,#running,6
#justdoit,#collusion,1
#justdoit,#solutions,1
#justdoit,#peace,5
#justdoit,#sweetmen,1
#justdoit,#songwriter,2
#justdoit,#musicianlife,1
#justdoit,#recordlabel,1
#justdoit,#recordingartist,1
#justdoit,#afrobeats,1
#justdoit,#alaafrica,1
#justdoit,#alaafricamusic,1
#justdoit,#liveforever,1
#justdoit,#album,2
#justdoit,#nobadsongsever,1
#justdoit,#american,1
#justdoit,#military,3
#justdoit,#teamabrams,1
#justdoit,#allthedamndoors,1
#justdoit,#justdance,1
#justdoit,#dancelife,1
#justdoit,#dancepiration,1
#justdoit,#inspiration,15
#justdoit,#danceanyway,1
#justdoit,#dance,2
#justdoit,#balletlife,1
#justdoit,#ballet,1
#justdoit,#bunhead,1
#justdoit,#jazzdance,1
#justdoit,#tapdance,1
#justdoit,#hiphopdance,1
#justdoit,#danceimprov,1
#justdoit,#dancemood,1
#justdoit,#choreo,1
#justdoit,#choreography,1
#justdoit,#nolimits,2
#justdoit,#nofear,2
#justdoit,#fearless,2
#justdoit,#dancemore,1
#justdoit,#dancenow,1
#justdoit,#newmusic,3
#justdoit,#westcoast,1
#justdoit,#nyc,12
#justdoit,#vancouver,1
#justdoit,#bigfacts,1
#justdoit,#uapb21,2
#justdoit,#retweeet,2
#justdoit,#share,3
#justdoit,#listenbetter,2
#justdoit,#puregoals,1
#justdoit,#teamfollowback,1
#justdoit,#waitonit,1
#justdoit,#naturalwoman,1
#justdoit,#afro,4
#justdoit,#brandjobba,1
#justdoit,#basketballneverdies,1
#justdoit,#itsjustdifferent,1
#justdoit,#shouldbeinjail,1
#justdoit,#medialee,1
#justdoit,#wdbr,1
#justdoit,#crg,1
#justdoit,#shstrack,1
#justdoit,#nikeheadtotoe,1
#justdoit,#doitforkaep,1
#justdoit,#amen,1
#justdoit,#impeachtrump,12
#justdoit,#jokes,6
#justdoit,#sketchers,2
#justdoit,#lol,8
#justdoit,#lmfao,2
#justdoit,#rkelly,1
#justdoit,#justice,10
#justdoit,#fakepatriotism,1
#justdoit,#burnnike,3
#justdoit,#sacrifice,24
#justdoit,#resigntrump,1
#justdoit,#wrko,1
#justdoit,#creator,1
#justdoit,#artist,2
#justdoit,#designers,1
#justdoit,#designer,1
#justdoit,#upscale,1
#justdoit,#art,7
#justdoit,#wearableart,1
#justdoit,#kag2018,2
#justdoit,#maga2018,2
#justdoit,#maga2020,2
#justdoit,#botblocking,1
